direction,entry_price,exit_price,sl,tp,atr,reason,bars_held,pnl_pips,net_pips,bars_since_box_end,break_dist_atr
short,4967.64,4889.993571428572,5006.4632142857145,4889.993571428572,25.882142857142885,tp,1,776.46,772.26,23,2.81
long,4942.19,4922.726428571428,4922.726428571428,4981.117142857142,12.97571428571421,sl,2,-194.64,-198.84,0,0.1
short,4805.88,4841.9914285714285,4841.9914285714285,4733.657142857143,24.07428571428571,sl,7,-361.11,-365.31,12,0.22
long,4853.67,4884.21,4838.400000000001,4884.21,10.179999999999902,tp,33,305.4,301.2,0,0.61
long,4947.44,4925.177857142857,4925.177857142857,4991.964285714285,14.841428571428489,sl,18,-222.62,-226.82,2,0.17
long,5021.2,5008.405,5008.405,5046.79,8.530000000000005,sl,18,-127.95,-132.15,1,1.13
long,5037.26,5066.229285714287,5022.7753571428575,5066.229285714287,9.656428571428737,tp,15,289.69,285.49,0,0.26
long,5041.08,5061.379285714285,5030.930357142857,5061.379285714285,6.766428571428411,tp,9,202.99,198.79,1,0.01
short,5053.54,5020.295714285715,5070.1621428571425,5020.295714285715,11.0814285714284,tp,8,332.44,328.24,2,1.42
short,5051.85,5061.005357142857,5061.005357142857,5033.539285714287,6.103571428571221,sl,16,-91.55,-95.75,0,0.18
long,5076.16,5060.460357142857,5060.460357142857,5107.559285714286,10.466428571428553,sl,66,-157.0,-161.2,23,0.19
short,5063.76,5070.808928571429,5070.808928571429,5049.662142857143,4.699285714285712,sl,4,-70.49,-74.69,4,0.98
short,5053.66,5067.311071428571,5067.311071428571,5026.357857142857,9.100714285714146,sl,6,-136.51,-140.71,0,0.25
short,4972.3,4951.632142857143,4982.633928571428,4951.632142857143,6.889285714285767,tp,16,206.68,202.48,16,1.13
long,5011.33,4990.6375,4990.6375,5052.715,13.794999999999943,sl,1,-206.93,-211.13,11,0.09
long,5013.34,5005.762857142857,5005.762857142857,5028.494285714286,5.051428571428654,sl,16,-75.77,-79.97,9,0.42
short,4983.55,4992.438571428572,4992.438571428572,4965.772857142858,5.925714285714223,sl,23,-88.89,-93.09,4,2.45
short,4916.62,4926.748214285714,4926.748214285714,4896.363571428571,6.752142857142904,sl,4,-101.28,-105.48,5,0.01
short,4867.29,4896.016071428571,4896.016071428571,4809.8378571428575,19.150714285714134,sl,49,-287.26,-291.46,0,0.35
short,4926.74,4914.716428571428,4932.751785714286,4914.716428571428,4.007857142857184,tp,8,120.24,116.04,1,0.83
long,4986.05,4973.387857142858,4973.387857142858,5011.374285714286,8.441428571428592,sl,56,-126.62,-130.82,0,0.37
long,5012.15,5006.4725,5006.4725,5023.504999999999,3.7849999999999193,sl,14,-56.77,-60.97,0,0.62
long,4995.42,4981.9746428571425,4981.9746428571425,5022.310714285714,8.963571428571543,sl,38,-134.45,-138.65,1,1.28
long,5016.47,5033.548571428571,5007.930714285715,5033.548571428571,5.692857142857,tp,7,170.79,166.59,2,0.59
long,5054.87,5043.318928571428,5043.318928571428,5077.972142857143,7.700714285714379,sl,3,-115.51,-119.71,0,0.73
short,5131.03,5141.146428571428,5141.146428571428,5110.797142857143,6.744285714285785,sl,7,-101.16,-105.36,1,0.47
long,5190.96,5181.147857142857,5181.147857142857,5210.584285714286,6.541428571428826,sl,3,-98.12,-102.32,0,1.25
short,5169.6,5179.927500000001,5179.927500000001,5148.945000000001,6.885000000000024,sl,3,-103.28,-107.48,0,0.59
long,5139.21,5166.893571428572,5125.368214285714,5166.893571428572,9.227857142857244,tp,28,276.84,272.64,11,1.16
long,5190.16,5183.127142857143,5183.127142857143,5204.225714285714,4.688571428571452,sl,9,-70.33,-74.53,0,0.52
long,5181.18,5204.582142857143,5169.478928571429,5204.582142857143,7.800714285714223,tp,16,234.02,229.82,3,2.55
short,5179.44,5187.785357142857,5187.785357142857,5162.749285714285,5.563571428571452,sl,18,-83.45,-87.65,2,0.73
short,5139.46,5158.339642857143,5158.339642857143,5101.700714285715,12.586428571428574,sl,2,-188.8,-193.0,8,0.68
short,5176.23,5183.088214285714,5183.088214285714,5162.513571428571,4.572142857142873,sl,43,-68.58,-72.78,1,0.41
long,5233.57,5219.2021428571425,5219.2021428571425,5262.305714285714,9.578571428571454,sl,3,-143.68,-147.88,4,0.34
long,5412.63,5401.449642857143,5401.449642857143,5434.990714285714,7.453571428571324,sl,3,-111.8,-116.0,2,0.38
short,5306.97,5336.375357142857,5336.375357142857,5248.159285714286,19.60357142857135,sl,49,-294.05,-298.25,15,2.33
short,5319.9,5296.384285714285,5331.657857142856,5296.384285714285,7.838571428571348,tp,5,235.16,230.96,0,0.34
short,5062.02,5098.7978571428575,5098.7978571428575,4988.464285714286,24.51857142857151,sl,15,-367.78,-371.98,0,0.45
long,5172.15,5159.233928571428,5159.233928571428,5197.982142857142,8.610714285714298,sl,5,-129.16,-133.36,5,0.45
short,5163.01,5122.184285714286,5183.4228571428575,5122.184285714286,13.60857142857146,tp,31,408.26,404.06,0,1.43
short,5141.9,5151.063928571428,5151.063928571428,5123.572142857142,6.109285714285696,sl,3,-91.64,-95.84,0,0.43
short,5090.91,5078.22,5118.454285714286,5035.821428571428,18.362857142857138,time,72,126.9,122.7,4,1.66
short,5110.75,5094.177142857143,5119.036428571429,5094.177142857143,5.524285714285725,tp,11,165.73,161.53,1,0.84
long,5115.2,5163.930714285714,5090.834642857142,5163.930714285714,16.24357142857148,tp,5,487.31,483.11,2,1.03
short,5099.05,5110.320357142858,5110.320357142858,5076.509285714285,7.513571428571465,sl,10,-112.7,-116.9,0,0.55
long,5114.62,5092.717857142857,5092.717857142857,5158.424285714285,14.601428571428512,sl,1,-219.02,-223.22,0,0.1
long,5185.25,5177.001071428572,5177.001071428572,5201.747857142857,5.499285714285699,sl,19,-82.49,-86.69,3,0.7
long,5213.48,5199.341428571428,5199.341428571428,5241.757142857143,9.425714285714289,sl,39,-141.39,-145.59,3,0.26
short,5188.07,5196.510714285714,5196.510714285714,5171.188571428571,5.627142857142904,sl,15,-84.41,-88.61,1,0.3
short,5174.52,5175.07,5187.739285714286,5148.081428571429,8.812857142857151,time,72,-5.5,-9.7,5,0.44
long,5189.74,5183.3949999999995,5183.3949999999995,5202.429999999999,4.229999999999953,sl,4,-63.45,-67.65,20,0.14
short,5139.75,5113.692857142857,5152.778571428571,5113.692857142857,8.685714285714246,tp,15,260.57,256.37,15,1.02
short,5066.72,5078.979285714286,5078.979285714286,5042.201428571429,8.172857142857149,sl,3,-122.59,-126.79,1,0.63
short,5074.76,5050.162142857143,5087.058928571429,5050.162142857143,8.199285714285647,tp,2,245.98,241.78,0,0.28
short,4988.55,4999.393928571429,4999.393928571429,4966.862142857143,7.229285714285717,sl,1,-108.44,-112.64,0,0.11
short,5000.39,4974.782857142858,5013.193571428572,4974.782857142858,8.535714285714091,tp,22,256.07,251.87,0,1.44
long,5026.24,5018.416428571429,5018.416428571429,5041.887142857142,5.215714285714187,sl,6,-78.24,-82.44,0,0.02
short,5003.05,4980.256428571429,5014.446785714286,4980.256428571429,7.5978571428572,tp,3,227.94,223.74,8,1.22
short,4987.5,4994.598214285715,4994.598214285715,4973.303571428572,4.7321428571429225,sl,14,-70.98,-75.18,1,0.83
long,4865.12,4883.492857142857,4855.933571428572,4883.492857142857,6.124285714285763,tp,1,183.73,179.53,26,4.11
short,4701.32,4648.029285714285,4727.965357142857,4648.029285714285,17.76357142857153,tp,42,532.91,528.71,3,0.25
short,4581.06,4612.036071428572,4612.036071428572,4519.107857142857,20.650714285714326,sl,6,-309.76,-313.96,9,0.34
long,4717.55,4707.635,4707.635,4737.38,6.6100000000000625,sl,3,-99.15,-103.35,0,1.23
short,4557.53,4586.9064285714285,4586.9064285714285,4498.777142857143,19.58428571428554,sl,16,-293.76,-297.96,1,0.26
long,4255.73,4330.759999999999,4218.214999999999,4330.759999999999,25.00999999999996,tp,22,750.3,746.1,12,1.42
short,4469.95,4405.964285714285,4501.942857142857,4405.964285714285,21.328571428571585,tp,1,639.86,635.66,12,3.49
long,4420.75,4405.673928571428,4405.673928571428,4450.902142857143,10.050714285714353,sl,16,-150.76,-154.96,17,0.05
long,4420.71,4399.2225,4399.2225,4463.685,14.325000000000014,sl,16,-214.88,-219.08,12,0.71
long,4559.04,4546.7078571428565,4546.7078571428565,4583.704285714286,8.221428571428792,sl,17,-123.32,-127.52,1,1.04
long,4569.07,4552.743571428571,4552.743571428571,4601.722857142857,10.884285714285657,sl,4,-163.26,-167.46,0,0.47
short,4440.42,4455.09,4455.09,4411.08,9.780000000000005,sl,37,-146.7,-150.9,0,0.61
short,4458.37,4418.3435714285715,4478.3832142857145,4418.3435714285715,13.34214285714292,tp,9,400.26,396.06,10,1.62
short,4443.04,4425.637857142858,4451.741071428572,4425.637857142858,5.800714285714223,tp,8,174.02,169.82,0,0.73
long,4464.05,4502.831428571429,4444.659285714286,4502.831428571429,12.927142857142826,tp,2,387.81,383.61,0,0.94
long,4537.09,4527.022857142857,4527.022857142857,4557.224285714286,6.711428571428704,sl,9,-100.67,-104.87,3,0.16
long,4533.62,4519.297142857143,4519.297142857143,4562.265714285714,9.54857142857145,sl,22,-143.23,-147.43,11,2.12
long,4573.36,4564.351428571428,4564.351428571428,4591.377142857143,6.005714285714215,sl,5,-90.09,-94.29,4,0.31
long,4630.1,4654.659285714286,4617.820357142858,4654.659285714286,8.186428571428483,tp,5,245.59,241.39,22,0.41
long,4726.45,4756.994285714285,4711.177857142857,4756.994285714285,10.181428571428503,tp,40,305.44,301.24,0,0.16
long,4756.59,4791.885,4738.9425,4791.885,11.764999999999938,tp,28,352.95,348.75,0,0.28
short,4628.99,4601.743571428571,4642.613214285714,4601.743571428571,9.08214285714283,tp,35,272.46,268.26,6,0.38
long,4694.54,4682.499285714285,4682.499285714285,4718.6214285714295,8.02714285714306,sl,40,-120.41,-124.61,2,0.17
short,4678.68,4645.791428571429,4695.124285714286,4645.791428571429,10.962857142857112,tp,50,328.89,324.69,4,1.35
long,4665.08,4692.862142857143,4651.188928571429,4692.862142857143,9.260714285714325,tp,10,277.82,273.62,1,2.78
short,4642.58,4662.992857142857,4662.992857142857,4601.754285714285,13.60857142857146,sl,14,-204.13,-208.33,1,0.21
long,4819.38,4809.842142857143,4809.842142857143,4838.455714285714,6.35857142857133,sl,1,-95.38,-99.58,0,0.09
short,4751.1,4711.778571428572,4770.760714285714,4711.778571428572,13.107142857142728,tp,47,393.21,389.01,0,0.12
long,4726.51,4748.390714285714,4715.569642857143,4748.390714285714,7.29357142857134,tp,39,218.81,214.61,1,0.18
long,4767.72,4796.67,4753.245,4796.67,9.650000000000025,tp,8,289.5,285.3,2,0.13
short,4747.16,4733.413571428571,4754.033214285714,4733.413571428571,4.582142857142896,tp,6,137.46,133.26,0,1.06
short,4774.66,4748.420714285714,4787.779642857143,4748.420714285714,8.74642857142869,tp,5,262.39,258.19,11,1.65
short,4732.28,4716.397142857142,4740.221428571429,4716.397142857142,5.294285714285901,tp,3,158.83,154.63,8,1.7
short,4708.69,4721.2985714285705,4721.2985714285705,4683.472857142857,8.405714285714241,sl,15,-126.09,-130.29,3,0.34
long,4782.58,4773.8832142857145,4773.8832142857145,4799.973571428572,5.797857142857148,sl,13,-86.97,-91.17,2,0.68
long,4817.97,4835.865,4809.0225,4835.865,5.964999999999951,tp,14,178.95,174.75,20,0.26
short,4804.6,4813.926785714286,4813.926785714286,4785.946428571429,6.217857142857156,sl,32,-93.27,-97.47,11,1.91
short,4815.48,4797.207857142857,4824.616071428571,4797.207857142857,6.090714285714187,tp,3,182.72,178.52,6,1.93
short,4807.29,4814.195357142857,4814.195357142857,4793.479285714286,4.6035714285713505,sl,5,-69.05,-73.25,3,0.15
long,4800.59,4790.228214285715,4790.228214285715,4821.313571428572,6.90785714285721,sl,5,-103.62,-107.82,16,1.18
long,4790.99,4783.506071428571,4783.506071428571,4805.957857142857,4.98928571428587,sl,23,-74.84,-79.04,6,1.18
long,4791.77,4785.905000000001,4785.905000000001,4803.5,3.9099999999999193,sl,8,-58.65,-62.85,7,1.12
short,4810.61,4822.927142857143,4822.927142857143,4785.975714285714,8.211428571428574,sl,72,-123.17,-127.37,3,1.71
long,4787.61,4779.748928571428,4779.748928571428,4803.332142857142,5.240714285714148,sl,29,-78.61,-82.81,5,0.99
short,4743.73,4715.907142857142,4757.641428571428,4715.907142857142,9.27428571428579,tp,25,278.23,274.03,0,2.14
short,4757.75,4747.545714285715,4762.852142857143,4747.545714285715,3.401428571428499,tp,22,102.04,97.84,0,0.44
short,4729.96,4739.393928571429,4739.393928571429,4711.092142857143,6.289285714285662,sl,23,-94.34,-98.54,6,0.01
short,4717.51,4701.736428571429,4725.396785714286,4701.736428571429,5.25785714285699,tp,4,157.74,153.54,5,2.68
long,4734.71,4724.197142857143,4724.197142857143,4755.735714285714,7.008571428571291,sl,11,-105.13,-109.33,1,0.19
long,4694.65,4688.194642857143,4688.194642857143,4707.560714285713,4.303571428571364,sl,1,-64.55,-68.75,1,0.64
long,4732.88,4724.117857142857,4724.117857142857,4750.404285714286,5.841428571428553,sl,1,-87.62,-91.82,12,0.12
short,4710.22,4699.261428571429,4715.699285714286,4699.261428571429,3.6528571428570364,tp,52,109.59,105.39,1,0.21
short,4683.53,4678.83,4693.161071428572,4664.267857142857,6.420714285714309,time,72,47.0,42.8,1,0.55
short,4614.83,4599.007142857143,4622.7414285714285,4599.007142857143,5.274285714285725,tp,22,158.23,154.03,13,0.23
